month,total.total,timeRange.start,timeRange.end
2008-02-04T00:00:00.000Z,312041275,2008-02-04T00:00:00.000Z,2008-02-05T00:00:00.000Z
2008-02-05T00:00:00.000Z,316082971,2008-02-05T00:00:00.000Z,2008-02-06T00:00:00.000Z
2008-02-06T00:00:00.000Z,320528256,2008-02-06T00:00:00.000Z,2008-02-07T00:00:00.000Z
2008-02-07T00:00:00.000Z,309976687,2008-02-07T00:00:00.000Z,2008-02-08T00:00:00.000Z
2008-02-08T00:00:00.000Z,287987051,2008-02-08T00:00:00.000Z,2008-02-09T00:00:00.000Z
2008-02-09T00:00:00.000Z,255783593,2008-02-09T00:00:00.000Z,2008-02-10T00:00:00.000Z
2008-02-10T00:00:00.000Z,284820261,2008-02-10T00:00:00.000Z,2008-02-11T00:00:00.000Z
2008-02-11T00:00:00.000Z,331693805,2008-02-11T00:00:00.000Z,2008-02-12T00:00:00.000Z
2008-02-12T00:00:00.000Z,330087202,2008-02-12T00:00:00.000Z,2008-02-13T00:00:00.000Z
2008-02-13T00:00:00.000Z,320126460,2008-02-13T00:00:00.000Z,2008-02-14T00:00:00.000Z
2008-02-14T00:00:00.000Z,312982911,2008-02-14T00:00:00.000Z,2008-02-15T00:00:00.000Z
2008-02-15T00:00:00.000Z,291163510,2008-02-15T00:00:00.000Z,2008-02-16T00:00:00.000Z
2008-02-16T00:00:00.000Z,254805359,2008-02-16T00:00:00.000Z,2008-02-17T00:00:00.000Z
2008-02-17T00:00:00.000Z,288441885,2008-02-17T00:00:00.000Z,2008-02-18T00:00:00.000Z
2008-02-18T00:00:00.000Z,333670702,2008-02-18T00:00:00.000Z,2008-02-19T00:00:00.000Z
2008-02-19T00:00:00.000Z,335209565,2008-02-19T00:00:00.000Z,2008-02-20T00:00:00.000Z
2008-02-20T00:00:00.000Z,325251416,2008-02-20T00:00:00.000Z,2008-02-21T00:00:00.000Z
2008-02-21T00:00:00.000Z,328402854,2008-02-21T00:00:00.000Z,2008-02-22T00:00:00.000Z
2008-02-22T00:00:00.000Z,302424546,2008-02-22T00:00:00.000Z,2008-02-23T00:00:00.000Z
2008-02-23T00:00:00.000Z,261177923,2008-02-23T00:00:00.000Z,2008-02-24T00:00:00.000Z
2008-02-24T00:00:00.000Z,293303371,2008-02-24T00:00:00.000Z,2008-02-25T00:00:00.000Z
2008-02-25T00:00:00.000Z,340556518,2008-02-25T00:00:00.000Z,2008-02-26T00:00:00.000Z
2008-02-26T00:00:00.000Z,336790278,2008-02-26T00:00:00.000Z,2008-02-27T00:00:00.000Z
2008-02-27T00:00:00.000Z,330973409,2008-02-27T00:00:00.000Z,2008-02-28T00:00:00.000Z
2008-02-28T00:00:00.000Z,322928979,2008-02-28T00:00:00.000Z,2008-02-29T00:00:00.000Z
2008-02-29T00:00:00.000Z,294441326,2008-02-29T00:00:00.000Z,2008-03-01T00:00:00.000Z
2008-03-01T00:00:00.000Z,261314662,2008-03-01T00:00:00.000Z,2008-03-02T00:00:00.000Z
2008-03-02T00:00:00.000Z,301286584,2008-03-02T00:00:00.000Z,2008-03-03T00:00:00.000Z
2008-03-03T00:00:00.000Z,211077766,2008-03-03T00:00:00.000Z,2008-03-04T00:00:00.000Z
2008-03-04T00:00:00.000Z,130506184,2008-03-04T00:00:00.000Z,2008-03-05T00:00:00.000Z
2008-03-05T00:00:00.000Z,331715156,2008-03-05T00:00:00.000Z,2008-03-06T00:00:00.000Z
2008-03-06T00:00:00.000Z,322522119,2008-03-06T00:00:00.000Z,2008-03-07T00:00:00.000Z
2008-03-07T00:00:00.000Z,296057858,2008-03-07T00:00:00.000Z,2008-03-08T00:00:00.000Z
2008-03-08T00:00:00.000Z,264928401,2008-03-08T00:00:00.000Z,2008-03-09T00:00:00.000Z
2008-03-09T00:00:00.000Z,294242756,2008-03-09T00:00:00.000Z,2008-03-10T00:00:00.000Z
2008-03-10T00:00:00.000Z,342079514,2008-03-10T00:00:00.000Z,2008-03-11T00:00:00.000Z
2008-03-11T00:00:00.000Z,341967792,2008-03-11T00:00:00.000Z,2008-03-12T00:00:00.000Z
2008-03-12T00:00:00.000Z,339179490,2008-03-12T00:00:00.000Z,2008-03-13T00:00:00.000Z
2008-03-13T00:00:00.000Z,331828132,2008-03-13T00:00:00.000Z,2008-03-14T00:00:00.000Z
2008-03-14T00:00:00.000Z,302902006,2008-03-14T00:00:00.000Z,2008-03-15T00:00:00.000Z
2008-03-15T00:00:00.000Z,263386567,2008-03-15T00:00:00.000Z,2008-03-16T00:00:00.000Z
2008-03-16T00:00:00.000Z,293983154,2008-03-16T00:00:00.000Z,2008-03-17T00:00:00.000Z
2008-03-17T00:00:00.000Z,342458821,2008-03-17T00:00:00.000Z,2008-03-18T00:00:00.000Z
2008-03-18T00:00:00.000Z,315689653,2008-03-18T00:00:00.000Z,2008-03-19T00:00:00.000Z
2008-03-19T00:00:00.000Z,309866694,2008-03-19T00:00:00.000Z,2008-03-20T00:00:00.000Z
2008-03-20T00:00:00.000Z,292690065,2008-03-20T00:00:00.000Z,2008-03-21T00:00:00.000Z
2008-03-21T00:00:00.000Z,275036699,2008-03-21T00:00:00.000Z,2008-03-22T00:00:00.000Z
2008-03-22T00:00:00.000Z,253559492,2008-03-22T00:00:00.000Z,2008-03-23T00:00:00.000Z
2008-03-23T00:00:00.000Z,260504390,2008-03-23T00:00:00.000Z,2008-03-24T00:00:00.000Z
2008-03-24T00:00:00.000Z,321191454,2008-03-24T00:00:00.000Z,2008-03-25T00:00:00.000Z
2008-03-25T00:00:00.000Z,338029751,2008-03-25T00:00:00.000Z,2008-03-26T00:00:00.000Z
2008-03-26T00:00:00.000Z,332742311,2008-03-26T00:00:00.000Z,2008-03-27T00:00:00.000Z
2008-03-27T00:00:00.000Z,324126798,2008-03-27T00:00:00.000Z,2008-03-28T00:00:00.000Z
2008-03-28T00:00:00.000Z,299956681,2008-03-28T00:00:00.000Z,2008-03-29T00:00:00.000Z
2008-03-29T00:00:00.000Z,261132657,2008-03-29T00:00:00.000Z,2008-03-30T00:00:00.000Z
2008-03-30T00:00:00.000Z,288578891,2008-03-30T00:00:00.000Z,2008-03-31T00:00:00.000Z
2008-03-31T00:00:00.000Z,347384125,2008-03-31T00:00:00.000Z,2008-04-01T00:00:00.000Z
2008-04-01T00:00:00.000Z,338234180,2008-04-01T00:00:00.000Z,2008-04-02T00:00:00.000Z
2008-04-02T00:00:00.000Z,330688602,2008-04-02T00:00:00.000Z,2008-04-03T00:00:00.000Z
2008-04-03T00:00:00.000Z,335844838,2008-04-03T00:00:00.000Z,2008-04-04T00:00:00.000Z
2008-04-04T00:00:00.000Z,302172825,2008-04-04T00:00:00.000Z,2008-04-05T00:00:00.000Z
2008-04-05T00:00:00.000Z,266533830,2008-04-05T00:00:00.000Z,2008-04-06T00:00:00.000Z
2008-04-06T00:00:00.000Z,301659661,2008-04-06T00:00:00.000Z,2008-04-07T00:00:00.000Z
2008-04-07T00:00:00.000Z,355340795,2008-04-07T00:00:00.000Z,2008-04-08T00:00:00.000Z
2008-04-08T00:00:00.000Z,343646362,2008-04-08T00:00:00.000Z,2008-04-09T00:00:00.000Z
2008-04-09T00:00:00.000Z,337637205,2008-04-09T00:00:00.000Z,2008-04-10T00:00:00.000Z
2008-04-10T00:00:00.000Z,336698802,2008-04-10T00:00:00.000Z,2008-04-11T00:00:00.000Z
2008-04-11T00:00:00.000Z,310598535,2008-04-11T00:00:00.000Z,2008-04-12T00:00:00.000Z
2008-04-12T00:00:00.000Z,272818146,2008-04-12T00:00:00.000Z,2008-04-13T00:00:00.000Z
2008-04-13T00:00:00.000Z,305153486,2008-04-13T00:00:00.000Z,2008-04-14T00:00:00.000Z
2008-04-14T00:00:00.000Z,350472925,2008-04-14T00:00:00.000Z,2008-04-15T00:00:00.000Z
2008-04-15T00:00:00.000Z,350513335,2008-04-15T00:00:00.000Z,2008-04-16T00:00:00.000Z
2008-04-16T00:00:00.000Z,340517995,2008-04-16T00:00:00.000Z,2008-04-17T00:00:00.000Z
2008-04-17T00:00:00.000Z,333496423,2008-04-17T00:00:00.000Z,2008-04-18T00:00:00.000Z
2008-04-18T00:00:00.000Z,305815806,2008-04-18T00:00:00.000Z,2008-04-19T00:00:00.000Z
2008-04-19T00:00:00.000Z,268082906,2008-04-19T00:00:00.000Z,2008-04-20T00:00:00.000Z
2008-04-20T00:00:00.000Z,297018427,2008-04-20T00:00:00.000Z,2008-04-21T00:00:00.000Z
2008-04-21T00:00:00.000Z,350331782,2008-04-21T00:00:00.000Z,2008-04-22T00:00:00.000Z
2008-04-22T00:00:00.000Z,342659196,2008-04-22T00:00:00.000Z,2008-04-23T00:00:00.000Z
2008-04-23T00:00:00.000Z,334115125,2008-04-23T00:00:00.000Z,2008-04-24T00:00:00.000Z
2008-04-24T00:00:00.000Z,322668203,2008-04-24T00:00:00.000Z,2008-04-25T00:00:00.000Z
2008-04-25T00:00:00.000Z,303521210,2008-04-25T00:00:00.000Z,2008-04-26T00:00:00.000Z
2008-04-26T00:00:00.000Z,262485143,2008-04-26T00:00:00.000Z,2008-04-27T00:00:00.000Z
2008-04-27T00:00:00.000Z,298326875,2008-04-27T00:00:00.000Z,2008-04-28T00:00:00.000Z
2008-04-28T00:00:00.000Z,359180278,2008-04-28T00:00:00.000Z,2008-04-29T00:00:00.000Z
2008-04-29T00:00:00.000Z,356556685,2008-04-29T00:00:00.000Z,2008-04-30T00:00:00.000Z
2008-04-30T00:00:00.000Z,333067320,2008-04-30T00:00:00.000Z,2008-05-01T00:00:00.000Z
2008-05-01T00:00:00.000Z,318625745,2008-05-01T00:00:00.000Z,2008-05-02T00:00:00.000Z
2008-05-02T00:00:00.000Z,309249032,2008-05-02T00:00:00.000Z,2008-05-03T00:00:00.000Z
2008-05-03T00:00:00.000Z,269517205,2008-05-03T00:00:00.000Z,2008-05-04T00:00:00.000Z
2008-05-04T00:00:00.000Z,299412853,2008-05-04T00:00:00.000Z,2008-05-05T00:00:00.000Z
2008-05-05T00:00:00.000Z,360114049,2008-05-05T00:00:00.000Z,2008-05-06T00:00:00.000Z
2008-05-06T00:00:00.000Z,364979287,2008-05-06T00:00:00.000Z,2008-05-07T00:00:00.000Z
2008-05-07T00:00:00.000Z,357985426,2008-05-07T00:00:00.000Z,2008-05-08T00:00:00.000Z
2008-05-08T00:00:00.000Z,356063401,2008-05-08T00:00:00.000Z,2008-05-09T00:00:00.000Z
2008-05-09T00:00:00.000Z,313530329,2008-05-09T00:00:00.000Z,2008-05-10T00:00:00.000Z
2008-05-10T00:00:00.000Z,274704651,2008-05-10T00:00:00.000Z,2008-05-11T00:00:00.000Z
2008-05-11T00:00:00.000Z,301768016,2008-05-11T00:00:00.000Z,2008-05-12T00:00:00.000Z
2008-05-12T00:00:00.000Z,368644104,2008-05-12T00:00:00.000Z,2008-05-13T00:00:00.000Z
2008-05-13T00:00:00.000Z,374725300,2008-05-13T00:00:00.000Z,2008-05-14T00:00:00.000Z
2008-05-14T00:00:00.000Z,360436827,2008-05-14T00:00:00.000Z,2008-05-15T00:00:00.000Z
2008-05-15T00:00:00.000Z,362207899,2008-05-15T00:00:00.000Z,2008-05-16T00:00:00.000Z
2008-05-16T00:00:00.000Z,337539834,2008-05-16T00:00:00.000Z,2008-05-17T00:00:00.000Z
2008-05-17T00:00:00.000Z,302925968,2008-05-17T00:00:00.000Z,2008-05-18T00:00:00.000Z
2008-05-18T00:00:00.000Z,347661716,2008-05-18T00:00:00.000Z,2008-05-19T00:00:00.000Z
2008-05-19T00:00:00.000Z,393367040,2008-05-19T00:00:00.000Z,2008-05-20T00:00:00.000Z
2008-05-20T00:00:00.000Z,395101745,2008-05-20T00:00:00.000Z,2008-05-21T00:00:00.000Z
2008-05-21T00:00:00.000Z,373724537,2008-05-21T00:00:00.000Z,2008-05-22T00:00:00.000Z
2008-05-22T00:00:00.000Z,368808478,2008-05-22T00:00:00.000Z,2008-05-23T00:00:00.000Z
2008-05-23T00:00:00.000Z,342719388,2008-05-23T00:00:00.000Z,2008-05-24T00:00:00.000Z
2008-05-24T00:00:00.000Z,306672658,2008-05-24T00:00:00.000Z,2008-05-25T00:00:00.000Z
2008-05-25T00:00:00.000Z,337004473,2008-05-25T00:00:00.000Z,2008-05-26T00:00:00.000Z
2008-05-26T00:00:00.000Z,378777220,2008-05-26T00:00:00.000Z,2008-05-27T00:00:00.000Z
2008-05-27T00:00:00.000Z,399176890,2008-05-27T00:00:00.000Z,2008-05-28T00:00:00.000Z
2008-05-28T00:00:00.000Z,390229544,2008-05-28T00:00:00.000Z,2008-05-29T00:00:00.000Z
2008-05-29T00:00:00.000Z,379358622,2008-05-29T00:00:00.000Z,2008-05-30T00:00:00.000Z
2008-05-30T00:00:00.000Z,345968874,2008-05-30T00:00:00.000Z,2008-05-31T00:00:00.000Z
2008-05-31T00:00:00.000Z,305429328,2008-05-31T00:00:00.000Z,2008-06-01T00:00:00.000Z
2008-06-01T00:00:00.000Z,339606063,2008-06-01T00:00:00.000Z,2008-06-02T00:00:00.000Z
2008-06-02T00:00:00.000Z,396323557,2008-06-02T00:00:00.000Z,2008-06-03T00:00:00.000Z
2008-06-03T00:00:00.000Z,396767622,2008-06-03T00:00:00.000Z,2008-06-04T00:00:00.000Z
